name,priceReg,priceSale,ratingAvg,ratingCnt,category,keywords
RAEN_ Optics Acie sunglasses,,,,,womens,
Round frame sunglasses,,,3,4,womens,
Round wire-frame sunglasses,,,5,1,womens,
Women's SUPER by RetroSuperFuture_ Sabata black sunglasses,,,,,womens,
Cameron slim chino pant,,,4,4,womens,
Alala_ court skort,$95.00 ,,,,womens,"Mesh,Casual,Elastane,Mesh,Spandex,Light,High Waisted,Skort,Light to Mid Weight,Elastic Waist,Minimalist,Mini,Colorblock"
Alala_ rally skort,,,,,womens,
CloudStretch V-neck sports dress,,,5,1,womens,
Harbor sneakers,$79.50 ,$39.50 ,,,womens,"Cloth,Flat,Canvas,Neutral,Light,White,Casual,Leather,Solid,Low Top,Lace Up,Rubber,Sneakers,Minimalist,Round Toe,Cotton"
CloudStretch half-zip pullover in stripe,$118.00 ,,,,womens,"Stand Collar,Classic,Blue,Light,At Hip,Half Zip,Long Sleeve,Raglan Sleeve,Relaxed,Casual,Stripes,High Neck"
Alala_ surf tights,$135.00 ,$125.00 ,1,1,womens,"Maroon,Solid,Light to Mid Weight,High Waisted,Skinny,Dark,Leggings,Elastane,Polyamide,Casual Chic,Ankle,Activewear"
Beyond Yoga_ heathered ribbed all-day flare pant,,,,,womens,
CloudStretch high-rise leggings,,,4,13,womens,
High-rise 7/8 leggings in Signature flex,$69.50 ,$55.99 ,3,80,womens,"Neutral,Dark,Minimalist,Navy,Solid,Full,Leggings,Skinny"
Highest-rise full-length leggings in Signature flex,,,4,83,womens,
Reebok_ Club C sneakers,$75.00 ,,,,womens,"Lace Up,Sneakers,Casual,Logo,Minimalist,Round Toe,Lavender,Cut Outs,Flat,Solid,Low Top,Pastel"
Alala_ Raya rib bra,,,,,womens,"Pullover,Racerback,Thin Straps,Below Bust,Polyamide,Sports Bra,Activewear,Elastane,Solid,Casual Chic,Scoop Neck,Jewel,Dark,Maroon"
Alala_ tie-back polo shirt,,,,,womens,
Beyond Yoga_ remix short-sleeve crop T-shirt,,,,,womens,
Bristol blazer in chocolate herringbone wool,,,3,17,womens,
Bristol blazer in Italian cotton-linen herringbone,,,4,11,womens,
Dalton blazer in Italian cotton-linen,,,4,24,womens,
Going out blazer in pink confetti tweed,,,4,7,womens,
Collection Louisa lady jacket in sequin stripe,$398.00 ,,,,womens,"Light to Mid Weight,Cardigan,Crew Neck,Glamorous,Multi Color,Sequins,Stripes,Cropped,Cocktail,Relaxed"
Louisa lady jacket in Italian ponte,$298.00 ,$189.99 ,4,5,womens,"Black,Dark,Neutral,Minimalist,Button,Cloth,Elastane,Jersey,Knit,Polyamide,Rayon,Viscose,Light to Mid Weight,Mid to-Heavy-Weight-Fabric,Relaxed,Cropped,Crew Neck,Work,Solid,Long Sleeve,Blazer"
Louisa lady jacket in maritime tweed,,,4,26,womens,
Collection tuxedo blazer,,,,,womens,
Cropped double-breasted blazer in Italian tuxedo wool,,,4,1,womens,
Double-breasted blazer in gold herringbone English wool,,,4,19,womens,
Ella open-front long sweater-blazer,,,4,199,womens,"Neutral,Light,Minimalist,Wool,Cotton,Dropped Shoulder,Notched Collar,Relaxed,Knee Length,Solid,Open Front,Work,Classic,Car Coat,Long Sleeve,Cream"
HATCH_ The Valerie Blazer,,,,,womens,
Lady blazer in stretch-crepe checks,,,4,3,womens,
Limited-edition cutaway blazer in faux leather,,,5,4,womens,
Marie Marot X J.Crew blazer in stretch velvet,,,4,3,womens,
Quilted lady jacket in Liberty_ Margaret Annie print,,,4,8,womens,
Shrunken blazer in black Stewart tartan,,,4,16,womens,
Sophie open-front sweater-blazer in leopard,,,4,61,womens,
Willa blazer in stripe,,,5,1,womens,
Parke blazer in bi-stretch cotton,$198.00 ,,4,62,womens,"Neutral,Dark,Minimalist,Long Sleeve,Elastane,Blazer,Viscose,Classic,Cotton,Tailored,Solid,Rayon,Single Breasted,Work,At Hip,Peaked Lapel,Black"
Parke blazer in English birdseye twill-wool,,,4,8,womens,
Parke blazer in ivory plaid Italian wool,,,4,13,womens,
Parke blazer in stretch linen blend,$198.00 ,,4,16,womens,"Solid,Minimalist,Linen,Long Sleeve,Neutral,Tailored,Light,Casual,Stretch,Notched Collar,Light,At Hip,Cream"
Parke blazer in pinstripe English wool,,,4,1,womens,
Regent blazer in wool flannel,,,4,383,womens,
Sommerset blazer in houndstooth wool,,,4,7,womens,
Sommerset blazer in graphite English wool herringbone,,,4,59,womens,
Eloise sweater-blazer,$158.00 ,$79.50 ,4,116,womens,"Below Hip,Wool,Solid,Light,Neutral,Long Sleeve,Minimalist,Notched Collar,Beige,Relaxed,Cotton,Work,Blazer"
Emilie patch-pocket sweater lady jacket,$128.00 ,,4,11,womens,"Red,Bright,Minimalist,Button,Patch Pocket,Cashmere,Cotton,Cotton Knit,French Terry,Metallic,Light to Mid Weight,Mid,Relaxed,Insulated,Above Hip,Crew Neck,Casual,Solid,Long Sleeve,Cardigan"
Collection Willa tuxedo blazer in Italian wool,,,,,womens,
Willa blazer in Good Tidings plaid wool blend,,,4,3,womens,
Willa blazer in houndstooth wool,,,4,13,womens,
Button-front tiered cover-up dress in cotton voile,$98.00 ,,3,1,womens,"Voille,Solid,Button Front,Cotton Knit,Light to Mid Weight,A-Line,Prairie,Neutral,Sheer,Relaxed,Above the Knee,Vacation,Plunge,Cotton,Cloth,Navy,Feminine,Pleats,V Neck,Beach,Swim Coverup,Cover Up"
Collection coated lace coat,,,4,5,womens,
Collection cropped lady jacket in leather,$598.00 ,,4,11,womens,"Classic,Quilted,Stiff Heavy,Quilted,Black,Solid,Leather,Above Hip,Crew Neck,Day Party,Long Sleeve,Minimalist,Relaxed,Recycled Polyester,Leather,Dark,Neutral"
Collection cropped lady trench coat,$278.00 ,,4,3,womens,"Beige,Light,Neutral,Minimalist,Relaxed,Cropped,Collared,Casual,Solid,Long Sleeve,Jacket"
Collection faux-fur jacket,,,4,6,womens,
Collection jacket in lamb shearling,,,3,3,womens,
Collection relaxed topcoat in zebra jacquard,,,4,3,womens,
Collection standing-collar leather jacket,,,4,63,womens,
Collection tailored trench coat in leopard,,,5,5,womens,
Collection topcoat in recycled sherpa,,,5,1,womens,
Collection trench coat in Ratti_ lilac collage floral,,,5,2,womens,
Collection washed leather motorcycle jacket,,,4,65,womens,
Classic denim jacket in Brilliant Day wash,$138.00 ,,4,53,womens,"Medium Blue,Casual,Relaxed,Boho Chic,Cotton,Trucker,Above Hip,Denim,Faded/Sandwash,Collared,Long Sleeve"
Classic denim jacket,,,4,37,womens,
Drapey indigo wrap jacket,,,2,10,womens,
Simone relaxed denim jacket,,,3,8,womens,
Collarless teddy sherpa coat,,,4,9,womens,
Quilted sherpa fleece half-zip pullover in print,,,4,15,womens,"Long Sleeve,Dark,Straight Silhouette-Top,Relaxed,Boho Chic,Neutral,Pullover,High Neck,Casual,Above Hip,Navy"
Teddy sherpa jacket,,,4,13,womens,
Alfie topcoat in buffalo check Italian wool,,,4,6,womens,
Alps puffer jacket with PrimaLoft_ in vintage floral,,,5,10,womens,
Colorblock chateau puffer with PrimaLoft_,,,5,2,womens,
Flora Obscura X J.Crew quilted reversible wrap jacket with PrimaLoft_,,,3,3,womens,
Lightweight cinched-waist puffer jacket,,,3,2,womens,
Limited-edition Barbour_ Orinsay quilted jacket,$450.00 ,,5,1,womens,"Dark,Cold Weather,Burnt Orange,Relaxed,Down,Drawstring,Quilted Down,Vacation,Utility Jacket,Quilted,Stand Collar,Front Zip,Patch Pocket,Long Sleeve,Casual,Puffer Down,Boho Chic,Knee Length,Solid"
New quilted excursion vest,$148.00 ,$117.99 ,4,21,womens,"Quilted,Stand Collar,Quilted,Classic,Solid,Vest,Sleeveless,Relaxed,Thermal,Minimalist,Puffer Down,Casual,At Hip,Layered,Cream,Pockets,Patch Pocket,Neutral,Light"
Puffer vest with PrimaLoft_ in Snowy Stewart tartan,,,4,8,womens,
Quilted Louisa puffer lady jacket,,,5,4,womens,
Quilted patchwork jacket,,,4,2,womens,
Quilted puffer vest with PrimaLoft_ in plaid,,,5,1,womens,
Quilted sherpa-lined puffer jacket,,,4,5,womens,
Sherpa-lined puffer jacket with Primaloft_,,,4,7,womens,
Women's Alpha Industries_ N-3B parka,,,,,womens,
Double-breasted raincoat,,,4,8,womens,
RAINS_ long jacket,,,,,womens,
RAINS_ A-line jacket,$140.00 ,,,,womens,"Minimalist,Long Sleeve,Recycled Polyester,Relaxed,Cloth,Brown,Neutral,Dark,Mid to-Heavy-Weight-Fabric,Soft,Casual,Waterproof,Light to Mid Weight,Below Hip,Drawstring,A-Line,Rubber,Rain Coat,Hoodie,Polyurethane,Solid"
RAINS_ jacket,,,3,1,womens,
Relaxed perfect lightweight jacket,,,4,35,womens,
Classic lady day coat in Italian double-cloth wool with Thinsulate_,,,3,463,womens,
Dalton topcoat in glen plaid English wool,,,4,9,womens,
New Daphne topcoat in Italian boiled wool,,,4,41,womens,
Swingy mockneck coat in Italian boiled wool,,,3,20,womens,
,,,,,,
Barbour_ X House of Hackney waxed cotton jacket in hollyhocks print,,,,,womens,
Barn Jacket_ in leopard,,,4,16,womens,
Relaxed Barn Jacket_ in cotton-canvas,,,3,18,womens,
Ruffled chino chore jacket,,,4,8,womens,
Washed field jacket in stripe,,,5,5,womens,
Women's Alpha Industries_ colorblock hooded jacket,$225.00 ,,,,womens,"Cotton,Relaxed,Insulated,Cloth,Multi Color,Drawstring,Light to Mid Weight,Long Sleeve,Asymmetrical,Cotton Knit,Minimalist,Parka,Funnel Neck,Pockets,Hoodie,Casual,Below Hip,Rain Coat,Front Zip"
Chateau parka in buffalo check Italian stadium-cloth wool,,,4,11,womens,
Chateau parka in Italian stadium-cloth wool,,,4,639,womens,
Lady jacket in Italian tweed,,,4,4,womens,
Long double-breasted topcoat in plaid,,,5,3,womens,
Summit parka in Italian stadium-cloth wool,,,4,38,womens,
Denim jogger in indigo,,,4,5,womens,
Slim boyfriend jean in Baltic Sky wash,,,4,8,womens,
Slim boyfriend jean in Chester wash,,,3,6,womens,
Slim boyfriend jean in Frontier wash,,,3,12,womens,
Slim boyfriend jean in Grand Rapids wash,,,4,13,womens,
Slim boyfriend jean in white,$110.00 ,$79.99 ,4,9,womens,"White,Ankle,Casual,Ripped,Minimalist,Elastane,Cotton,Slim,Straight,High Waisted,Solid,Raw Hem"
Slim broken-in boyfriend jean in white,,,4,88,womens,
Slouchy boyfriend jean in ecru,$148.00 ,$132.99 ,3,20,womens,"White,Denim,Minimalist,Colored,Straight,Cotton,Solid,Ankle,Casual,Whiskering,Regular"
Slouchy boyfriend jean in Paint Chip wash,,,5,1,womens,
Slouchy boyfriend jean in washed black,,,4,2,womens,
Slouchy boyfriend jean in Waterside wash,,,4,13,womens,
Slouchy-straight garment-dyed dad jean,$148.00 ,$59.99 ,4,13,womens,"Cotton Knit,Minimalist,Patch Pocket,Mid Rise,Denim,Rounded Stitched Pocket,Casual,Solid,Full,Regular,Light to Mid Weight,Fly Zip,Straight,Cotton,Mid to-Heavy-Weight-Fabric,Five Pocket,Colored,Pink"
Curvy bootcut jean with patch pockets,,,4,15,womens,
Curvy toothpick jean in Grey Lake wash,,,4,9,womens,
Curvy vintage slim-straight jean in Gemma wash,,,5,1,womens,
"Petite 10"" demi-boot crop jean in white",,,,,womens,"White,Boot Cut,Slim,Raw Hem,Casual,Full,Cropped,Minimalist,Elastane,Denim,Mid to-Heavy-Weight-Fabric,Cotton,High Waisted,Solid"
"10""  demi-boot crop jean in Ocean wash",,,5,9,womens,
"10"" demi-boot crop jean in white wash",$128.00 ,,4,3,womens,"Ankle,Boho Chic,Solid,High Stretch,Elastane,Recycled Polyester,Raw Hem,Five Pocket,Boot Cut,Slim,Cotton,High Waisted,Fly Zip,White,Light to Mid Weight,Casual,Denim"
"9"" demi-boot crop jean in hudson wash",,,4,8,womens,
"9"" demi-boot crop jean in stay black wash",$128.00 ,$99.99 ,3,15,womens,"Denim,Solid,Fitted,Black,Cropped,Cotton,Work,High Waisted,Boot Cut,Ankle,Elastane,Minimalist"
"9"" demi-boot crop jean in white with button fly",,,4,14,womens,
"9"" mid-rise demi-boot crop jean in Odette wash",,,4,7,womens,
"9"" demi-boot crop jean in Canopy wash",$128.00 ,,3,4,womens,"Medium Blue,Fly Zip,Light to Mid Weight,Five Pocket,Patch Pocket,Boho Chic,Slim,Cotton Knit,Faded/Sandwash,Stretch,Lycra,Whiskering,Cotton,Mid to-Heavy-Weight-Fabric,Casual,Rounded Stitched Pocket,Denim,Mid Rise,Ankle,Boot Cut"
Curvy bootcut jean in Cornflower wash,,,,,womens,
Demi-boot crop jean in shale blue wash,,,4,16,womens,
Demi-boot crop trouser jean in black,,,4,5,womens,
Full-length demi-boot jean in Clear Water wash,,,,,womens,
Full-length demi-boot jean in Kamari wash,,,3,22,womens,
Full-length demi-boot jean in Magnolia wash,,,3,13,womens,
High-rise slim demi-boot jean in Brookshire wash,$148.00 ,$117.99 ,4,5,womens,"Fly Zip,Rounded Stitched Pocket,Denim,Light to Mid Weight,Casual,Lycra,Cotton Knit,Elastane,Whiskering,Patch Pocket,Raw Hem,Five Pocket,Slim,Boho Chic,High Stretch,Lyocell,Stretch,Mid to-Heavy-Weight-Fabric,Ankle,Straight,Cotton,Faded/Sandwash,High Waisted,Medium Blue"
Limited-edition Point Sur pintuck flare jean in Rinse wash,,,3,5,womens,
"Point Sur 10"" high-rise demi-boot jean with button fly",,,4,15,womens,
Point Sur kickout crop jean in Vintage Lake wash,,,,,womens,
Point Sur kickout crop jean in vintage wash with let down hem,,,3,7,womens,
Skinny flare jean in Norgate wash,$158.00 ,,4,10,womens,"Medium Blue,Mid Rise,Five Pocket,Recycled Polyester,Elastane,Mid to-Heavy-Weight-Fabric,Fly Zip,Cotton Knit,Patch Pocket,Light to Mid Weight,Faded/Sandwash,Full,Boho Chic,High Stretch,Cotton,Whiskering,Denim,Fitted,Rounded Stitched Pocket,Casual,Flared"
Slim demi-boot jean in coated silver,,,5,4,womens,
Full-length bootcut jean in Seacoast wash,,,5,3,womens,
High-rise full-length flare jean in white,,,4,5,womens,
HATCH_ The Slim Maternity Jean,,,,,womens,
"10"" high-rise toothpick jean in Juniper wash",,,4,3,womens,
"10"" highest-rise toothpick jean in bright papaya",,,5,1,womens,
"10"" highest-rise toothpick jean in dark ink wash",,,3,15,womens,
"10"" highest-rise toothpick jean in Flaxflower wash",,,3,6,womens,
"10"" highest-rise toothpick jean in garment-dyed olive",,,5,4,womens,
"10"" highest-rise toothpick jean in Saybrook wash",,,4,8,womens,
"10"" toothpick jean in Mykonos wash",,,4,6,womens,
"8"" toothpick jean in white wash",$128.00 ,,,,womens,"Light to Mid Weight,White,Fly Zip,Five Pocket,Casual,Fitted,Denim,Mid Rise,Solid,High Stretch,Recycled Polyester,Cotton,Full,Minimalist,Elastane,Skinny Pant"
"9"" high-rise jeggings in light blue wash",,,,,,
"9"" high-rise toothpick eco jean in Ocean Blue wash",,,4,9,womens,
"9"" high-rise toothpick jean in Blue Nile wash",,,,,,
"9"" high-rise toothpick jean in Charcoal wash",$128.00 ,,4,105,womens,"Faded/Sandwash,Boho Chic,Whiskering,Cotton,Denim,Elastane,Mid to-Heavy-Weight-Fabric,Stretch,Fitted,Cropped,Full,Casual,High Waisted,Straight"
"9"" high-rise toothpick jean in Grey Lake wash",,,3,21,womens,
"9"" high-rise toothpick jean in Hartley wash",,,4,6,womens,
"9"" high-rise toothpick jean in Seacoast wash",,,4,12,womens,
"9"" high-rise toothpick jean in Solano wash",,,4,46,womens,
"9"" high-rise toothpick jean with exposed buttons",,,4,10,womens,
"9"" mid-rise toothpick jean in white",,,4,131,womens,
"9"" toothpick jean with Lurex_ metallic threads",,,4,3,womens,
Curvy 10'' highest-rise toothpick jean in Blue Harbor wash,,,3,5,womens,
10'' vintage slim-straight jean in Aqua Marina wash,,,3,5,womens,
"10"" vintage slim-straight jean in Cherry Street wash",,,4,9,womens,
"Petite 9"" mid-rise vintage slim-straight jean in Catskill wash",,,,,womens,"Medium Blue,Stonewash,Boho Chic,Whiskering,Slim,Ankle,Casual,Straight"
"9"" mid-rise vintage slim-straight jean in Charcoal wash",$128.00 ,,4,68,womens,"Whiskering,Mid Rise,Fitted,Full,Boho Chic,Casual,Elastane,Skinny Pant,Faded/Sandwash,Cotton,Dark Blue"
"9"" vintage slim-straight jean in Spruce wash",,,3,12,womens,
"9"" mid-rise vintage slim-straight jean in Stay Black wash",$128.00 ,,3,23,womens,"Whiskering,Denim,Cotton,Straight,High Waisted,Solid,Minimalist,Full,Slim,Casual,Black"
"10"" slim straight jean in Gallop wash",,,3,5,womens,
"10"" vintage straight jean in Wesly wash",,,3,3,womens,
"10"" vintage slim-straight jean in Misty Surf wash",,,,,womens,"Fly Zip,Medium Blue,Faded/Sandwash,Boho Chic,Patch Pocket,Whiskering,Cotton,Denim,Elastane,Light to Mid Weight,Regular,Rounded Stitched Pocket,Full,Casual,Five Pocket,Mid Rise,Straight"
"9"" vintage straight jean in Cape Blue wash",,,4,13,womens,
"9"" vintage straight jean in dark medium wash",,,4,16,womens,
"9"" vintage straight jean with eyelet hem",,,3,8,womens,
High-rise '90s classic straight jean in Honeydew wash,,,4,11,womens,
High-rise '90s classic straight jean in Waterside wash,,,4,5,womens,
High-rise '90s classic straight jean in Rinse wash,$138.00 ,$87.99 ,4,21,womens,"Denim,Dark Blue,Elastane,Minimalist,Casual,Straight,High Waisted,Cotton,Full,Regular,Whiskering,Stonewash"
High-rise '90s classic straight jean in Rouses wash,$138.00 ,$87.99 ,,,womens,"Medium Blue,Faded/Sandwash,Boho Chic,Ripped,Whiskering,Cotton,Denim,Elastane,Light to Mid Weight,Regular,Full,Casual,Straight"
High-rise full-length '90s classic-straight jean in ecru,$138.00 ,$99.99 ,3,17,womens,"Cotton,Straight,High Waisted,Casual,Minimalist,Colored,Ankle,Regular,White,Solid"
High-rise garment-dyed '90s classic straight jean,,,4,6,womens,
Limited-edition Point Sur Vista straight jean in Catalina wash,,,3,3,womens,
Matchstick jean in classic rinse,,,3,33,womens,
Mid-rise '90s classic-straight jean in Crete wash,,,5,2,womens,
Point Sur hightower straight jean in indigo mist wash,,,4,2,womens,
Point Sur hightower straight jean in vivid indigo,,,4,12,womens,
Point Sur Shoreditch straight jean in charcoal wash,,,5,3,womens,
Point Sur shoreditch straight jean in painted sky wash,,,5,3,womens,
Point Sur shoreditch straight jean in pale ice wash,,,5,2,womens,
Rigid straight-leg jean in Marina wash,,,3,13,womens,
,,,,,,
Vintage straight jean in houndstooth print,,,4,10,womens,
Vintage straight jean in Mayville wash with cut hem,,,4,31,womens,
Vintage straight jean in New England wash,,,3,17,womens,
Vintage straight jean in scattered dot,,,4,13,womens,
Vintage straight jean in two-tone denim,,,4,27,womens,
Full-length demi-boot jean in white wash,$138.00 ,,,,womens,"White,Minimalist,Cotton,Denim,Light to Mid Weight,Slim,Full,Casual,Solid,High Waisted,Straight"
High-rise drapey trouser jean,,,3,20,womens,
High-rise Peggy tapered jean in white,,,5,4,womens,
Limited-edition Point Sur puddle jean in Picket Fence wash,$198.00 ,$157.99 ,,,womens,"Colored,Solid,Cream,Cotton,Straight,Full,Slant Pocket,Denim,Wide Leg,Minimalist,Mid Rise,Light to Mid Weight,Loose,Fly Zip,Casual"
Paper-bag pant in indigo stripe,,,3,8,womens,
Slim wide-leg jean in clean black,,,4,8,womens,
Slim wide-leg jean in floral toile print,,,5,2,womens,
Slim wide-leg jean in khaki stripe,,,4,5,womens,
Slim wide-leg sailor jean in Atlantic wash,,,3,3,womens,
Wide-leg denim trouser in Pearl Street wash,,,4,23,womens,
Wide-leg pant in washed chambray,,,4,6,womens,
Afternoon dress in Liberty_ Lodden fabric,,,4,4,womens,
Alexa dress in Leavers lace,,,3,8,womens,
Alicia cupro-blend racerback slip dress,$168.00 ,,4,14,womens,"Neutral,Fitted,Sleeveless,Mid Chest,Solid,Day Party,Tea Length,Maxi,Column,Cupro,Cotton,Navy,Dark,Rayon,Light to Mid Weight,Scoop Neck,Slip Dress,Minimalist,Over the Shoulder,Viscose"
Banjanan smocked tiered maxi dress in pink meadow floral print,,,,,womens,
Beach tunic in gingham,,,3,6,womens,
Belted mini sweater-dress,,,4,5,womens,
Belted sheath dress in black Stewart tartan,,,5,1,womens,
Belted shirtdress in Liberty_ Danjo floral,,,4,25,womens,
Bias-cut slip dress,,,4,6,womens,
Blazer-dress in bi-stretch cotton,,,4,8,womens,
Boatneck jumpsuit in chambray,,,4,6,womens,
Bow-back shift dress in duchesse satin,,,4,3,womens,
Button-back linen shift dress with embroidery,,,4,21,womens,
Button-back linen shift dress,,,4,88,womens,
Button-down cotton poplin dress,,,3,4,womens,
Button-front A-line midi dress in leopard,,,4,10,womens,
Button-front crepe shirtdress,,,3,6,womens,
Button-front pleated crepe shirtdress,,,4,2,womens,
Button-up midi dress in mixed stripe,,,4,22,womens,
Button-up mini dress in sunny meadow,,,2,5,womens,
Button-up tiered dress in classic block print,,,4,19,womens,
Cap-sleeve A-line midi dress in structured ponte,,,3,10,womens,
Carolina K valley caftan,,,3,1,womens,
Cassi Namoda X J.Crew limited-edition cotton poplin maxi dress,,,5,1,womens,
Chambray cover-up dress in stripe,,,3,35,womens,
Cinched-waist dress in Stewart tartan,,,4,3,womens,
Cinched-waist dress in watercolor floral print,,,5,5,womens,
Classic button-front midi sundress in contrast embroidered eyelet,,,4,21,womens,
Classic-fit crisp cotton poplin shirtdress,,,4,60,womens,
Classic-fit soft gauze shirtdress,,,4,18,womens,
Collared belted dress in Italian city wool,,,5,2,womens,
Collared camp-pocket shirtdress,,,4,17,womens,
Collared cotton poplin maxi dress,,,3,6,womens,
Collared merino wool sweater-dress,,,4,11,womens,
Collection belted dress in Ratti_ Woodstock floral print,,,3,3,womens,
Collection one-shoulder silk-Lurex_ dress in lily swirl,,,4,4,womens,
Collection ruffle-trim cutout maxi dress in lime floral,$350.00 ,,,,womens,"Short Sleeve,Feminine,Light to Mid Weight,Cut Out,Flutter Sleeve,A-Line,Prairie,V Neck,Viscose,Maxi,Plunge,Maxi,Cupro,Cotton,Cloth,Multi Color,Recycled Cotton,Floral,Rayon,Ruffle,Back Zipper,Day Party,Cotton Knit,Relaxed"
Collection scoopneck dress in Lurex_ chiffon,,,4,8,womens,
Collection side-cutout midi dress in cotton poplin,$228.00 ,,3,1,womens,"Poplin,Dark,Neutral,Solid,Ruching,Spaghetti Straps,Cloth,Cotton,Tie,Cotton Knit,Back Zipper,Midi,Adjustable,Light to Mid Weight,Relaxed,Mid Chest,Sleeveless,Black,Day Party,A-Line,Organic Cotton,Cut Out,Feminine"
Collection side-cutout midi dress in striped taffeta,$350.00 ,,,,womens,"Casual Chic,Elastane,Polyamide,Sleeveless,Polyester,Jewel,Mid Chest,Relaxed,Stripes,Cut Out,Dark,Adjustable,Ruching,Taffeta,Cloth,Fit & Flare,Light to Mid Weight,Midi,Sapphire,Day Party,Back Zipper,Spaghetti Straps"
Contrast-stitched sheath dress in stretch faille,,,4,4,womens,
Cotton-linen beach romper in stripe,,,4,5,womens,
Cotton poplin apron dress,,,2,15,womens,
Cowlneck sheath dress in 365 crepe,,,3,13,womens,
Cross-back ruffle-hem dress in Ratti_ coral vines,,,,,womens,
Cupro-blend midi T-shirt dress in sunburst,,,5,6,womens,
Cupro-blend midi T-shirt dress,,,2,15,womens,
Cupro-blend tuxedo jumpsuit in paisley bunch,,,4,3,womens,
Cupro shirtdress in Becklow dot,,,4,10,womens,
Dauphinette X J.Crew tie-shoulder maxi cover-up dress in cornucopia floral,$148.00 ,,4,2,womens,"Feminine,Drawstring,Floral,Maxi,Over the Shoulder,Cotton Knit,Tie,Prairie,A-Line,Cotton,Cover Up,Swim Coverup,Beach,Vacation,V Neck,Pullover,Maxi,Plunge,Bright,Blue,Light to Mid Weight,Organic Cotton,Sleeveless,Ruching,Relaxed"
DEMYLEE_ Aurelia cashmere dress,,,,,womens,
Demylee_ X J.Crew leopard-print sweater-dress,,,4,11,womens,
Denim midi dress in white,,,4,7,womens,
Denim shirtdress with tie belt,,,4,34,womens,
Drapey tiered dress in polka dot,,,3,4,womens,
Elbow-sleeve sheath dress in leopard bi-stretch cotton,,,4,5,womens,
Embroidered linen dress,,,4,25,womens,
Embroidered midi dress with lace trim,,,4,8,womens,
Embroidered romper,,,4,5,womens,
Eyelet midi dress with flounce hem,,,3,24,womens,
Faux-wrap dress in Liberty_ Mini Floral Walk,,,4,21,womens,
Featherweight satin tie-neck dress,,,3,11,womens,
Fitted lightweight chino dress,,$79.50 ,3,11,womens,"Beige,Neutral,Above the Knee,Mid Chest,Sleeveless,Solid,Sheath,Back Zipper,Over the Shoulder,Casual,A-Line,Light,Fitted,Square Neck,Minimalist"
Flowy tiered midi dress in poppy fields,,,5,9,womens,
Flutter V-neck dress in classic block print,,,4,14,womens,
Friday dress in cotton poplin,,,4,14,womens,
Garment-dyed cotton poplin shirtdress,,,4,14,womens,
Gathered cotton-poplin dress in oversized paisley,,,4,3,womens,
Gathered silk midi dress in polka dot,,,2,2,womens,
Gathered tie-back dress in scalloped paisley,,,4,4,womens,
Gingham button-front midi dress with ruffle hem in soft rayon,,,3,15,womens,
Gwen cupro-blend mini slip dress in dot,,,,,womens,
Gwen cupro-blend mini slip dress,,,3,20,womens,
Harbour side-cutout dress,,,4,21,womens,
HATCH_ The Jesse Shirtdress,,,,,womens,
Knit cutaway mini dress in stripe,,,4,5,womens,
Knit midi dress,,,3,21,womens,
Knit ribbed sweater-dress in mixed stripe,,,4,17,womens,
Lace-up balloon-sleeve dress,,,4,11,womens,
Lady jacket dress in sequin tweed,,,4,3,womens,
Laser-cut eyelet dress in 365 crepe,,,3,18,womens,
LAUDE the Label Augusta Dress,,,,,womens,
LAUDE the Label Ballet Dress in Ecru,$238.00 ,,,,womens,"Over the Shoulder,Cotton Knit,Cotton,Silk,Cloth,Solid,Low Cut,Tea Length,Boho Chic,A-Line,Casual,Light,Light,Scoop Neck,Colorblock,Pullover,Cream,Light to Mid Weight,Jersey,Distressed,Ruching,Relaxed,Beige,Sleeveless,Neutral"
LAUDE the Label Cleo Dress,,,5,1,womens,
LAUDE the Label Emilie Dress,,,,,womens,
LAUDE the Label Laurel Jumper,,,,,womens,
LAUDE the Label Playa Dress in Natural,$208.00 ,,,,womens,
LAUDE the Label Poet Dress in Dried Tobacco,,,,,womens,
LAUDE the Label Tunic Dress,,,5,1,womens,
lemlem Abira slip dress,$345.00 ,,,,womens,"Spaghetti Straps,Maxi,White,Cotton,Metallic,Mid to-Heavy-Weight-Fabric,Beach,Midi,Vacation,Column,Scoop Neck,Casual,Stripes,Neutral,Light,Boho Chic,Sleeveless,Mid Chest,Relaxed,Light to Mid Weight"
lemlem Amira short plunge-neck dress,,,1,1,womens,
lemlem Bekah plunge-neck dress,,,,,womens,"Cotton,White,Low Cut,Mid to-Heavy-Weight-Fabric,Boho Chic,Ruffle,Tea Length,Vacation,Relaxed,Neutral,Cotton Knit,V Neck,Light to Mid Weight,Stripes,Light,Elastic Waist,A-Line,Short Sleeve,Casual,Beach,Pullover"
lemlem Eshal short tiered dress,,,,,womens,
lemlem Eshe flutter dress,,,,,womens,
lemlem Eskedar caftan dress,$355.00 ,,,,womens,"Light,Mini,Light to Mid Weight,Low Cut,Casual,Stripes,Boho Chic,Beige,Neutral,Cotton Knit,Beach,Short Sleeve,Notched Neck,Cotton,Mid to-Heavy-Weight-Fabric,Cap Sleeve,Fringe,Relaxed"
,,,,,,
lemlem Jemari cascade dress,,,,,womens,
,,,,,,
lemlem Kelali long caftan,,,,,womens,
lemlem koki peasant dress,,,,,womens,
lemlem Mokati beach dress,,,,,womens,
lemlem Neela caftan dress,,,,,womens,
lemlem Nunu plunge-neck dress,,,,,womens,
