name,priceReg,priceSale,ratingAvg,ratingCnt,category,keywords
Best Made Co._ 3L down parka,,,,,,
Best Made Co._ wool pullover,,,,,,
Best Made Co._ Be Optimistic enamel sign,,,,,,
Kid Made Modern_ comic book kit,,,,,,
Kid Made Modern_ giant crazy crayon,,,,,,
Kid Made Modern_ outstanding octopus twin quilt and sham set,,,,,,
Coyuchi_ 300-thread-count organic percale king sheet set,,,,,,
Chill by Will_ Grace bra with ribbed detail,,,,,,
Chill by Will_ Stout tank,,,,,,
Chill by Will_ Storm tank,,,,,,
Druthers_ Peace crew socks,,,,,,
Petite resume dress in stretch linen blend,,,,,mens,"Blush,Work,Solid,Knee Length,Classic,Tailored,Light,A-Line,Cap Sleeve,Crew Neck,Sheath,High Neck,Light,Linen,Minimalist,Short Sleeve"
"NATIVE UNION_ clic card case for iPhone_ XS, X",,,,,,
Girls' Childrenchic_ Mary Janes,,,,,,
Girls' Childrenchic_ linen ankle T-band shoes in shimmer,,,,,,
Kid Made Modern_ woodland animal full quilt and sham set,,,,,,
Alpha Industries_ Defender fishtail parka and liner,,,,,,
Alpha Industries_ Meri fishtail field coat,,,,,,
W&P pineapple shaker,,,,,,
W&P Bauhaus puzzle,,,,,,
W&P barware set and Shake book,,,,,,
W&P bar spoon,,,,,,
W&P spicy margarita cocktail syrup,,,,,,
W&P Moscow Mule syrup,,,,,,
W&P pineapple bottle opener,,,,,,
W&P mini cocktail syrup set,,,,,,
Kids' Lennon + Wolfe_ Frankie short-sleeve button-up,,,,,,
Garbo & Friends_ Ollie knit blanket,,,,,,
FRONTEER_ Scout's cap,,,,,,
Garbo & Friends_ chevron wool blanket,,,,,,
Garbo & Friends_  sleep bag,,,,,,
Garbo & Friends_ Cupola twin bedding set,,,,,,
Garbo & Friends_ Mares toddler duvet set,,,,,,
Unisex Koio Capri Roccia sneakers,,,,,,
Modern Weaving_ moondancer earrings,,,,,,
ARIANA BOHLING_ multi-color Suri alpaca slippers,,,,,,
Lunya_ restore muscle T-shirt,,,,,,
Lunya_ restore travel kit,,,,,,
Universal Standard_ Zilla puff sweatshirt,,,,,,
Universal Standard_ Laurene grommet wrap skirt,,,,,,
Universal Standard_ Geneva dress,,,,,,
Dream Collective_ small black diamond dot studs,,,,,,
WYETH_ Farah corduroy cap,,,,,,
Sea Star Beachwear_ neoprene small voyager pouch in platinum,,,,,,
Sea Star Beachwear_ Seafarer slingback water shoes in dark denim,,,,,,
Bodewell Home O.CCASION candle,,,,,,
Bodewell Home P.ASSION candle,,,,,,
NATIVE UNION_ clic canvas case for iPhone_ XS,,,,,,
Haerfest_ passport wallet,,,,,,
Haerfest_ Jo saddle crossbody,,,,,,
Girls' Petite 'N Pretty_ snow queens 10k shine trio,,,,,,
Girls' Petite 'N Pretty_ 9021-snow! eye and cheek palette,,,,,,
lemlem Yanet convertible skirt,,,,,,
LeSportsac_ Carlin zip top tote,,,,,,
SNOWE_ candle set,,,,,,
Women's Koio Capri stone sneakers,,,,,,
lemlem Doro strapless caftan,,,,,,
lemlem Maya off-the-shoulder dress,,,,,,
Odette New York_ Ligne cuff bracelet,,,,,,
Kid Made Modern_ embroidered notebook craft kit,,,,,,
Kid Made Modern_ paint your own submarine kit,,,,,,
Chill by Will_ Nia leggings,,,,,,
Modern Weaving_ petite A-line bucket bag,,,,,,
Chill by Will_ Beck short,,,,,,
Women's Sea Star Beachwear_ Beachcomber espadrille water shoes in light blue denim,,,,,,
RAEN_ Optics Aren sunglasses,,,,,,
Women's SUPER by RetroSuperFuture_ Drew sunglasses,,,,,,
Women's SUPER by RetroSuperFuture_ Lenz flat-top sunglasses,,,,,,
RAINS_ weekend bag,,,,,,
Onia macro stripe beach blanket,,,,,,
SeaVees_ Legend sneaker beachcomber,,,,,,
Hari Mari_ Field flip-flops,,,,,,
lemlem Eskedar short dress,,,,,,
lemlem Welela off-the-shoulder top,,,,,,
W&P Homemade Hot Sauce Kit,,,,,,
W&P Star Wars_ rolling pin,,,,,,
Kids' Minnow_ sun hat,,,,,,
Paravel_ Main Line duffel bag in nylon,,,,,,
Modern Weaving_ circle handle bucket bag,,,,,,
Modern Weaving_ overlay stud earrings,,,,,,
Beyond Yoga_ luxe high-waisted midi leggings,,,,,,
SeaVees_ women's Legend sneakers in corduroy,,,,,,
B&Me_ Booker multifunctional babywearing coat,,,,,,
LAUDE the Label Everyday Crop Pant,,,,,,
SeaVees_ kids' and big kids' Legend sneakers in corduroy,,,,,,
LAUDE the Label Tassel Brocade Foldover Clutch,,,,,,
Elephantito_ toddler Mary Jane flats,,,,,,
AoverA by Ariana Bohling_ Fern slippers,,,,,,
Mayron's Goods_ baby bar soap,,,,,,
WYETH_ Francine hat,,,,,,
Gryph & IvyRose_ Daily Embrace_ shampoo & conditioner,,,,,,
Gryph & IvyRose_ Poppin' Bubbles bubble bath,,,,,,
Girls' Childrenchic_ Mary Janes in glitter,,,,,,
Kids' Cabbages & Kings_ baby booties,,,,,,
Kids' Cabbages & Kings_ pom bonnet,,,,,,
Kids' Cabbages & Kings_ tassel pom bonnet,,,,,,
HATCH_ Belen dress,,,,,,
HATCH_ Sabrina jumpsuit,,,,,,
Rookie Humans_ love blooms crib sheet,,,,,,
Rookie Humans_ woodland dreams mini crib sheet,,,,,,
Thimble_ reversible wrap dress,,,,,,
EVOLG_ Grizzly touchscreen mittens,,,,,,
Petit Peony_ ice cream-print leggings,,,,,,
Les Gamins ribbed leggings,,,,,,
Garbo & Friends_ sleep bag,,,,,,
Garbo & Friends_ mellow blanket,,,,,,
